Nome,Età,Nazionalità,Tiri,Goal,Assist,Fuorigioco,Palle recuperate,Tackle vinti,Partite Giocate,Minuti,Squadra,Lega,Ruolo
Matias Arezo,19.0,URU,2.78,0.0,0.0,0.0,7.22,1.11,8,162,Granada,La Liga,FW
Santiago Arias,30.0,COL,0.61,0.2,0.0,0.41,11.0,1.22,12,440,Granada,La Liga,DF
Adam Armstrong,25.0,ENG,2.99,0.13,0.13,0.13,3.63,0.45,23,1413,Southampton,Premier League,FW
Stuart Armstrong,30.0,SCO,2.32,0.12,0.0,0.06,8.96,0.91,25,1473,Southampton,Premier League,MF
Marko Arnautovi?,33.0,AUT,3.04,0.47,0.03,0.47,3.85,0.5,33,2694,Bologna,Serie A,FW
Maximilian Arnold,28.0,GER,1.2,0.12,0.06,0.03,10.7,1.02,34,2994,Wolfsburg,Bundesliga,MF
Tolgay Arslan,31.0,GER,1.25,0.05,0.0,0.0,10.1,1.25,30,1658,Udinese,Serie A,MF
Arthur,24.0,BRA,2.77,0.24,0.24,0.12,1.93,0.72,14,749,Fiorentina,Serie A,FW
Santiago Arzamendia,24.0,PAR,1.15,0.19,0.0,0.19,8.46,2.31,14,469,CÃ¡diz,La Liga,DF
Takuma Asano,27.0,JPN,1.79,0.17,0.22,1.01,5.81,0.61,27,1608,Bochum,Bundesliga,FW
Santiago AscacÃ­bar,25.0,ARG,0.49,0.0,0.04,0.11,11.8,2.31,28,2375,Hertha BSC,Bundesliga,MF
Alejandro Asensio,21.0,ESP,10.0,0.0,0.0,0.0,20.0,0.0,2,12,Rayo Vallecano,La Liga,FW
Marco Asensio,26.0,ESP,3.33,0.52,0.0,0.1,5.31,0.52,31,1731,Real Madrid,La Liga,FW
Harrison Ashby,20.0,SCO,0.0,0.0,0.0,0.0,10.0,0.0,1,7,West Ham,Premier League,DF
Kristoffer Askildsen,21.0,NOR,0.83,0.0,0.0,0.0,8.57,1.19,19,754,Sampdoria,Serie A,MF
Fisnik Asllani,19.0,KVX,0.0,0.0,0.0,0.0,0.0,0.0,2,9,Hoffenheim,Bundesliga,FW
Kristjan Asllani,20.0,ALB,1.07,0.07,0.07,0.0,8.4,0.93,23,1353,Empoli,Serie A,MF
Iago Aspas,34.0,ESP,2.45,0.5,0.15,0.58,5.63,0.2,37,3087,Celta Vigo,La Liga,FW
Lorenz Assignon,21.0,TOG,0.88,0.0,0.29,0.29,9.26,1.47,20,616,Rennes,Ligue 1,DF
Simon Asta,21.0,GER,0.34,0.0,0.0,0.23,9.31,0.92,13,783,Greuther FÃ¼rth,Bundesliga,DF
Youcef Atal,26.0,ALG,1.1,0.16,0.08,0.24,9.29,1.65,17,1140,Nice,Ligue 1,DF
